food,calorie,protein,carbs,fat,Goals,Preferences,Restrictions,Sugar,Fiber,Sodium,Vitamins,Minerals,Minerals
Caprese Pizza,250,12,30,10,General health,Vegetarian,None,2,3,350,12,1,1
Turkey and Cheese Quesadilla,280,20,15,18,Weight loss,Protein-Rich Foods,None,3,2,400,10,2,2
Salmon Fillet,220,25,0,13,General health,Seafood,None,0,0,60,0,2,2
Iced Latte,60,1,6,3,General health,Beverages,Caffeine sensitive,6,0,20,0,0,0
Chicken Avocado Wrap,320,20,25,15,Weight loss,Protein-Rich Foods,None,3,2,400,10,2,2
Margherita Pizza,280,12,30,12,General health,Vegetarian,None,2,3,350,12,1,1
Apple,95,0.5,25,0.3,General health,Fruits,None,19,3.7,0,14,0.1,0.1
Quinoa and Vegetable Stir-Fry,200,5,40,2,General health,Whole Grains,Vegetarian,2,6,300,10,2,2
Iced Americano,5,0.5,1,0,General health,Beverages,Caffeine sensitive,0,0,10,0,0,0
Coconut Oil,120,0,0,14,General health,Fats,None,0,0,0,0,0,0
Greek Salad,180,8,12,12,General health,Vegetarian,None,4,3,300,20,2,2
Grilled Cheese Sandwich,320,15,30,15,Weight loss,Dairy,None,2,2,400,15,2,2
Grilled Chicken Salad,180,25,10,8,Weight loss,Protein-Rich Foods,None,3,4,350,15,2,2
Iced Chamomile Tea,0,0,0,0,General health,Beverages,Caffeine sensitive,0,0,5,0,0,0
Turkey and Swiss Sandwich,350,20,30,15,Weight loss,Protein-Rich Foods,None,3,2,400,15,2,2
Vegetarian Margherita Flatbread,240,8,35,7,General health,Vegetarian,None,2,3,300,12,1,1
Banana,105,1.3,27,0.3,General health,Fruits,None,14,3.1,1,22,1,1
Quinoa and Chickpea Bowl,280,10,40,9,General health,Whole Grains,Vegetarian,2,7,350,15,2,2
Iced Rooibos Tea,0,0,0,0,General health,Beverages,Caffeine sensitive,0,0,5,0,0,0
Olive Oil,120,0,0,14,General health,Fats,None,0,0,0,0,0,0
Caesar Salad,200,10,15,15,General health,Vegetarian,None,4,3,300,20,2,2
Cheese and Tomato Panini,300,12,30,15,General health,Dairy,None,2,3,300,12,1,1
Grilled Salmon Salad,250,30,15,12,Weight loss,Seafood,None,3,5,400,15,2,2
Iced Herbal Tea,5,0,1,0,General health,Beverages,Caffeine sensitive,0,0,5,0,0,0
Chicken Caesar Wrap,320,22,20,15,Weight loss,Protein-Rich Foods,None,3,2,400,10,2,2
Vegetarian Margherita Pizza,280,12,30,10,General health,Vegetarian,None,2,3,350,12,1,1
Pear,57,0.6,15,0.2,General health,Fruits,None,12,3.1,0,1,1,1
Quinoa and Black Bean Salad,220,8,35,5,General health,Whole Grains,Vegetarian,2,7,350,15,2,2
Iced Peppermint Tea,0,0,0,0,General health,Beverages,Caffeine sensitive,0,0,5,0,0,0
Avocado,160,2,9,15,General health,Fats,None,0.7,6.7,10,4,2,2
Greek Chicken Salad,200,25,10,8,Weight loss,Protein-Rich Foods,None,3,4,350,15,2,2
Tomato and Mozzarella Panini,300,14,25,15,General health,Dairy,None,2,3,300,12,1,1
Baked Chicken Thighs,200,22,0,12,Weight loss,Protein-Rich Foods,None,0,0,80,0,2,2
Iced Matcha Latte,50,1,10,1,General health,Beverages,Caffeine sensitive,10,2,10,0,0,0
Turkey Club Salad,300,20,15,18,Weight loss,Protein-Rich Foods,None,3,4,400,15,2,2
Vegetarian Margherita Pasta,250,10,30,8,General health,Vegetarian,None,2,3,300,12,1,1
Banana,105,1.3,27,0.3,General health,Fruits,None,14,3.1,1,22,1,1
Quinoa and Vegetable Wrap,280,12,35,9,General health,Whole Grains,Vegetarian,2,6,350,10,2,2
Iced Hibiscus Tea,5,0,1,0,General health,Beverages,Caffeine sensitive,0,0,5,0,0,0
Coconut Water,45,0.5,11,0,General health,Beverages,None,6,0,25,5,2,2
Caesar Chicken Wrap,320,25,20,15,Weight loss,Protein-Rich Foods,None,3,2,400,10,2,2
Mushroom and Swiss Panini,280,12,25,14,General health,Dairy,None,2,3,300,12,1,1
Grilled Tuna Steak,180,25,1,8,Weight loss,Seafood,None,0,0,60,0,2,2
Iced Lemon Tea,10,0,3,0,General health,Beverages,Caffeine sensitive,2,0,5,0,0,0
Chicken Avocado Salad,280,20,15,18,Weight loss,Protein-Rich Foods,None,3,4,400,15,2,2
Vegetarian Margherita Sandwich,250,10,30,8,General health,Vegetarian,None,2,3,300,12,1,1
Apple,95,0.5,25,0.3,General health,Fruits,None,19,3.7,0,14,0.1,0.1
Quinoa and Lentil Bowl,220,12,35,4,General health,Whole Grains,Vegetarian,1,6,300,15,2,2
Iced Ginger Tea,5,0,1,0,General health,Beverages,Caffeine sensitive,1,0,5,0,0,0
Olive Tapenade,80,1,5,6,General health,Fats,None,0,2,150,2,2,2
Greek Chicken Gyro,300,25,15,15,Weight loss,Protein-Rich Foods,None,3,2,400,15,2,2
Caprese Panini,280,12,25,14,General health,Dairy,None,2,3,300,12,1,1
Roasted Turkey Breast,150,30,0,3,Weight loss,Protein-Rich Foods,None,0,0,60,0,2,2
Iced Peach Tea,15,0,4,0,General health,Beverages,Caffeine sensitive,3,0,5,0,0,0
Chicken Caesar Bowl,320,22,20,15,Weight loss,Protein-Rich Foods,None,3,2,400,10,2,2
Margherita Flatbread Sandwich,250,10,30,8,General health,Vegetarian,None,2,3,300,12,1,1
Pear,57,0.6,15,0.2,General health,Fruits,None,12,3.1,0,1,1,1
Quinoa and Chickpea Salad,220,8,35,5,General health,Whole Grains,Vegetarian,2,7,350,15,2,2
Iced Lavender Tea,5,0,1,0,General health,Beverages,Caffeine sensitive,0,0,5,0,0,0
Almond Butter,180,7,5,15,General health,Nuts,None,1,2,0,0,2,2
Greek Chicken Wrap,300,25,15,12,Weight loss,Protein-Rich Foods,None,3,4,350,15,2,2
Caprese Pasta Salad,280,12,25,14,General health,Dairy,None,2,3,300,12,1,1
Baked Cod Fish,120,25,0,2,Weight loss,Seafood,None,0,0,50,0,2,2
Iced Berry Tea,10,0,3,0,General health,Beverages,Caffeine sensitive,2,0,5,0,0,0
Chicken Caesar Wrap,300,22,20,15,Weight loss,Protein-Rich Foods,None,3,2,400,10,2,2
Margherita Pizza,280,12,30,12,General health,Vegetarian,None,2,3,350,12,1,1
Banana,105,1.3,27,0.3,General health,Fruits,None,14,3.1,1,22,1,1
Quinoa and Vegetable Stir-Fry,220,8,35,5,General health,Whole Grains,Vegetarian,2,7,350,15,2,2
Iced Peppermint Tea,5,0,1,0,General health,Beverages,Caffeine sensitive,0,0,5,0,0,0
Olive Oil,120,0,0,14,General health,Fats,None,0,0,0,0,0,0
Chicken Caesar Salad,200,25,10,8,Weight loss,Protein-Rich Foods,None,3,4,350,15,2,2
Caprese Panini,280,12,25,14,General health,Dairy,None,2,3,300,12,1,1
Chana Masala,150,7,25,5,General health,Vegetarian,None,3,6,300,10,2,2
Masoor Dal,120,9,20,2,General health,Vegetarian,None,1,8,200,5,1,1
Chicken Biryani,300,20,30,15,Weight loss,Protein-Rich Foods,None,2,3,400,10,2,2
Vegetable Pulao,250,5,40,8,General health,Vegetarian,None,2,5,300,8,2,2
Mango Lassi,150,5,30,2,General health,Beverages,None,25,1,20,10,1,1
Palak Paneer,200,15,10,12,Weight loss,Vegetarian,None,3,5,350,15,2,2
Tandoori Roti,100,3,15,2,General health,Whole Grains,Vegetarian,0,2,150,0,0,0
Coconut Chutney,50,1,5,3,General health,Vegetarian,None,1,2,100,0,1,1
Gulab Jamun,200,2,30,10,General health,Sweets,None,20,1,10,2,0,0
Aloo Gobi,180,5,20,10,General health,Vegetarian,None,3,4,250,15,1,1
Rice(Steamed),150,3,30,1,General health,Whole Grains,None,0,1,0,0,0,0
Dal Tadka,120,8,15,5,General health,Vegetarian,None,1,5,250,5,1,1
Roti,80,2,15,1,General health,Whole Grains,Vegetarian,0,2,100,0,0,0
Aloo Paratha,250,5,30,12,General health,Vegetarian,None,1,3,200,10,1,1
Paneer Bhurji,200,15,10,12,Weight loss,Vegetarian,None,2,4,300,15,2,2
Cucumber Raita,50,2,6,2,General health,Vegetarian,None,3,1,50,2,1,1
Chapati,70,2,12,1,General health,Whole Grains,Vegetarian,0,1,80,0,0,0
Baingan Bharta,120,5,15,6,General health,Vegetarian,None,2,4,200,10,1,1
Masala Chai,50,1,8,2,General health,Beverages,Caffeine sensitive,5,1,10,2,0,0
Samosa,150,3,20,7,General health,Snacks,None,1,2,200,2,1,1
Khichdi,200,6,30,5,General health,Vegetarian,None,1,6,300,5,1,1
Bhindi Masala,120,3,15,7,General health,Vegetarian,None,2,4,200,10,1,1
Poha,150,3,30,2,General health,Vegetarian,None,1,3,150,2,1,1
Rajma Chawal,250,10,40,5,General health,Vegetarian,None,2,8,300,8,2,2
Curd Rice,180,5,25,6,General health,Vegetarian,None,4,2,100,2,1,1
Aloo Matar,160,4,20,8,General health,Vegetarian,None,2,3,250,10,1,1
Jalebi,250,2,40,10,General health,Sweets,None,30,1,5,0,1,1
Dosa,120,2,25,2,General health,Vegetarian,None,0,2,80,0,0,0
Mango,60,1,15,0.3,General health,Fruits,None,12,2,0,45,1,1
Lassi,100,3,15,3,General health,Beverages,None,10,0,30,2,1,1
Chapati,80,2,15,1,General health,Whole Grains,Vegetarian,0,2,100,0,0,0
Rajma,160,8,30,2,General health,Vegetarian,None,1,6,250,5,1,1
Aloo Gobi,180,5,20,10,General health,Vegetarian,None,3,4,250,15,1,1
Chicken Curry,250,20,10,15,Weight loss,Protein-Rich Foods,None,2,3,350,10,2,2
Vegetable Biryani,300,7,40,10,General health,Vegetarian,None,2,5,300,8,2,2
Butter Chicken,350,25,15,20,Weight loss,Protein-Rich Foods,None,3,2,400,10,2,2
Paneer Tikka,200,15,10,12,Weight loss,Vegetarian,None,2,4,300,15,2,2
Dal Fry,140,7,20,5,General health,Vegetarian,None,1,4,200,5,1,1
Samosa,150,3,20,7,General health,Snacks,None,1,2,200,2,1,1
Masala Chai,50,1,8,2,General health,Beverages,Caffeine sensitive,5,1,10,2,0,0
Roti,80,2,15,1,General health,Whole Grains,Vegetarian,0,2,100,0,0,0
Palak Paneer,200,15,10,12,Weight loss,Vegetarian,None,3,5,350,15,2,2
Dhokla,120,5,25,2,General health,Vegetarian,None,1,3,150,2,1,1
Chicken Biryani,300,20,30,15,Weight loss,Protein-Rich Foods,None,2,3,400,10,2,2
Chana Chaat,150,7,30,2,General health,Vegetarian,None,3,6,200,5,1,1
Bhindi Masala,120,3,15,7,General health,Vegetarian,None,2,4,200,10,1,1
Mango,60,1,15,0.3,General health,Fruits,None,12,2,0,45,1,1
Aloo Paratha,250,5,30,12,General health,Vegetarian,None,1,3,200,10,1,1
Samosa,150,3,20,7,General health,Snacks,None,1,2,200,2,1,1
Masala Chai,50,1,8,2,General health,Beverages,Caffeine sensitive,5,1,10,2,0,0
Dhal Tadka,150,8,20,5,General health,Vegetarian,None,1,6,250,5,1,1
Tandoori Roti,100,3,15,2,General health,Whole Grains,Vegetarian,0,2,150,0,0,0
Chicken Curry,250,20,10,15,Weight loss,Protein-Rich Foods,None,2,3,350,10,2,2
Vegetable Pulao,200,5,35,5,General health,Vegetarian,None,1,4,200,8,1,1
Lassi,80,3,10,2,General health,Beverages,None,8,0,20,2,1,1
Baingan Bharta,120,5,15,6,General health,Vegetarian,None,2,4,200,10,1,1
Papad,50,2,10,0,General health,Vegetarian,None,0,1,100,0,0,0
Mango,60,1,15,0.3,General health,Fruits,None,12,2,0,45,1,1
Cabbage Sabzi,90,2,15,3,General health,Vegetarian,None,2,4,150,10,1,1
Roti,80,2,15,1,General health,Whole Grains,Vegetarian,0,2,100,0,0,0
Chicken Masala,280,20,15,18,Weight loss,Protein-Rich Foods,None,3,2,400,15,2,2
Vegetable Biryani,250,5,40,8,General health,Vegetarian,None,2,5,300,8,2,2
Aloo Paratha,300,5,30,15,General health,Vegetarian,None,1,3,200,10,1,1
Chana Masala,200,10,25,5,General health,Vegetarian,None,2,5,250,5,2,2
Dal Fry,150,8,20,5,General health,Vegetarian,None,1,4,200,5,1,1
Curd,60,3,6,3,General health,Dairy,None,4,0,20,2,1,1
Pav Bhaji,300,5,40,12,General health,Vegetarian,None,5,6,400,10,2,2
Masoor Dal,120,9,20,2,General health,Vegetarian,None,1,8,200,5,1,1
Chapati,80,2,15,1,General health,Whole Grains,Vegetarian,0,2,100,0,0,0
Bhindi Masala,100,3,15,5,General health,Vegetarian,None,2,4,150,10,1,1
Samosa,150,3,20,7,General health,Snacks,None,1,2,200,2,1,1
Jeera Rice,150,3,30,2,General health,Vegetarian,None,0,1,0,0,0,0
Aloo Gobi,150,5,20,8,General health,Vegetarian,None,3,4,250,15,1,1
Butter Naan,200,5,30,6,General health,Whole Grains,Vegetarian,1,3,250,0,0,0
Palak Dal,130,7,15,6,General health,Vegetarian,None,1,5,200,5,1,1
Chole,180,10,25,5,General health,Vegetarian,None,2,6,250,10,2,2
Mango Lassi,120,3,20,3,General health,Beverages,None,15,1,20,5,1,1
Aloo Paratha,250,5,30,12,General health,Vegetarian,None,1,3,200,10,1,1
Rajma,160,8,30,2,General health,Vegetarian,None,1,6,250,5,1,1
Poha,150,3,30,2,General health,Vegetarian,None,1,3,150,2,1,1
Tandoori Chicken,300,25,0,15,Weight loss,Protein-Rich Foods,None,0,0,350,10,2,2
Biryani,300,7,40,10,General health,Vegetarian,None,2,5,300,8,2,2
Mango,60,1,15,0.3,General health,Fruits,None,12,2,0,45,1,1
Chapati,80,2,15,1,General health,Whole Grains,Vegetarian,0,2,100,0,0,0
Dhokla,120,5,25,2,General health,Vegetarian,None,1,3,150,2,1,1
Butter Chicken,350,25,15,20,Weight loss,Protein-Rich Foods,None,3,2,400,10,2,2
Samosa,150,3,20,7,General health,Snacks,None,1,2,200,2,1,1
Chana Masala,180,8,25,6,General health,Vegetarian,None,2,7,300,5,2,2
Bhindi Fry,120,3,15,7,General health,Vegetarian,None,2,4,200,10,1,1
Rice,100,2,20,0.5,General health,Whole Grains,Vegetarian,0,1,0,0,0,0
Chicken Curry,250,20,10,15,Weight loss,Protein-Rich Foods,None,2,3,350,10,2,2
Dal Makhani,200,10,20,10,General health,Vegetarian,None,2,8,250,5,1,1
Aloo Jeera,150,3,25,5,General health,Vegetarian,None,2,3,200,5,1,1
Roti,80,2,15,1,General health,Whole Grains,Vegetarian,0,2,100,0,0,0
Paneer Tikka Masala,300,15,20,18,Weight loss,Vegetarian,None,3,4,400,15,2,2
Sambhar,120,5,25,2,General health,Vegetarian,None,1,5,200,5,1,1
Masala Chai,50,1,8,2,General health,Beverages,Caffeine sensitive,5,1,10,2,0,0
Pav Bhaji,300,5,40,12,General health,Vegetarian,None,5,6,400,10,2,2
Dosa,120,2,25,2,General health,Vegetarian,None,0,2,80,0,0,0
Chicken Tikka,200,15,5,12,Weight loss,Protein-Rich Foods,None,1,3,300,10,2,2
Upma,180,4,30,5,General health,Vegetarian,None,1,4,200,5,1,1
Butter Roti,150,3,20,6,General health,Whole Grains,Vegetarian,0,1,100,0,0,0
Kadhi Chawal,250,8,30,10,General health,Vegetarian,None,3,2,250,5,1,1
Mango Shake,150,3,25,4,General health,Beverages,None,15,1,20,5,1,1
Egg Curry,280,20,10,18,Weight loss,Protein-Rich Foods,None,2,3,350,10,2,2
Idli Sambar,200,5,40,2,General health,Vegetarian,None,2,5,200,8,1,1
Masala Chai,50,1,8,2,General health,Beverages,Caffeine sensitive,5,1,10,2,0,0
Aloo Gobi,150,5,20,8,General health,Vegetarian,None,3,4,250,15,1,1
Fish Curry,250,20,15,12,Weight loss,Protein-Rich Foods,None,2,3,300,10,2,2
Cabbage Sabzi,100,2,15,5,General health,Vegetarian,None,2,4,150,10,1,1
Lentil Soup (Dal),120,8,15,3,General health,Vegetarian,None,1,5,200,5,1,1
Curd Rice,180,5,25,6,General health,Vegetarian,None,4,2,100,2,1,1
Bhindi Masala,120,3,15,7,General health,Vegetarian,None,2,4,200,10,1,1
Puri Bhaji,300,5,40,12,General health,Vegetarian,None,2,3,300,8,2,2
Chicken Biryani,300,20,30,15,Weight loss,Protein-Rich Foods,None,2,3,400,10,2,2
Rajma Chawal,250,10,40,5,General health,Vegetarian,None,2,8,300,8,2,2
Egg Bhurji,200,15,10,12,Weight loss,Protein-Rich Foods,None,2,3,350,15,2,2
Vegetable Biryani,300,7,40,10,General health,Vegetarian,None,2,5,300,8,2,2
Methi Thepla,120,3,20,5,General health,Whole Grains,Vegetarian,1,2,150,2,0,0
Butter Chicken,350,25,15,20,Weight loss,Protein-Rich Foods,None,3,2,400,10,2,2
Tomato Rasam,80,2,15,1,General health,Vegetarian,None,3,1,100,5,1,1
Mango Lassi,150,5,30,2,General health,Beverages,None,20,1,20,10,1,1
Poha,180,4,35,3,General health,Vegetarian,None,1,3,150,2,1,1
Chicken Korma,280,20,10,15,Weight loss,Protein-Rich Foods,None,2,3,350,10,2,2
Masala Chai,50,1,8,2,General health,Beverages,Caffeine sensitive,5,1,10,2,0,0
Paneer Butter Masala,300,15,20,18,Weight loss,Vegetarian,None,3,4,400,15,2,2
Bhindi Fry,120,3,15,7,General health,Vegetarian,None,2,4,200,10,1,1
Aloo Paratha,250,5,30,12,General health,Vegetarian,None,1,3,200,10,1,1
Fish Curry,250,20,15,12,Weight loss,Protein-Rich Foods,None,2,3,300,10,2,2
Vegetable Pulao,200,5,35,5,General health,Vegetarian,None,1,4,200,8,1,1
Masoor Dal,150,8,20,2,General health,Vegetarian,None,1,8,200,5,1,1
Cabbage Sabzi,100,2,15,5,General health,Vegetarian,None,2,4,150,10,1,1
Rice,100,2,20,0.5,General health,Whole Grains,Vegetarian,0,1,0,0,0,0
Tandoori Roti,100,3,15,2,General health,Whole Grains,Vegetarian,0,2,150,0,0,0
Mango,60,1,15,0.3,General health,Fruits,None,12,2,0,45,1,1
Dhokla,150,5,30,2,General health,Vegetarian,None,1,3,150,2,1,1
Chicken Kebab,200,18,2,12,Weight loss,Protein-Rich Foods,None,1,2,300,10,2,2
Jeera Rice,150,3,30,2,General health,Vegetarian,None,0,1,0,0,0,0
Baingan Bharta,120,5,15,6,General health,Vegetarian,None,2,4,200,10,1,1
Chana Chaat,120,7,20,2,General health,Vegetarian,None,3,6,200,5,1,1
Mango,60,1,15,0.3,General health,Fruits,None,12,2,0,45,1,1
Chapati,80,2,15,1,General health,Whole Grains,Vegetarian,0,2,100,0,0,0
Rasam,50,1,10,1,General health,Vegetarian,None,2,1,100,5,1,1
Aloo Baingan,120,3,20,5,General health,Vegetarian,None,1,3,150,10,1,1
Masala Chai,50,1,8,2,General health,Beverages,Caffeine sensitive,5,1,10,2,0,0
Puri,150,3,25,6,General health,Vegetarian,None,2,3,150,0,0,0
Lemon Rice,200,4,40,5,General health,Vegetarian,None,1,2,200,5,1,1
Tandoori Chicken,250,25,0,15,Weight loss,Protein-Rich Foods,None,0,0,350,10,2,2
Vegetable Samosa,150,3,20,7,General health,Snacks,None,1,2,200,2,1,1
Raita,80,4,8,4,General health,Vegetarian,None,3,1,50,2,1,1
Chicken Biryani,300,20,30,15,Weight loss,Protein-Rich Foods,None,2,3,400,10,2,2
Bhindi Masala,120,3,15,7,General health,Vegetarian,None,2,4,200,10,1,1
Aloo Tikki,100,2,15,5,General health,Snacks,None,1,2,150,2,1,1
Mango Shake,150,3,25,4,General health,Beverages,None,15,1,20,5,1,1
Pav Bhaji,300,5,40,12,General health,Vegetarian,None,5,6,400,10,2,2
Masala Dosa,200,5,30,8,General health,Vegetarian,None,1,3,200,5,1,1
Chicken Curry,250,20,15,12,Weight loss,Protein-Rich Foods,None,2,3,300,10,2,2
Vegetable Upma,150,4,30,3,General health,Vegetarian,None,1,4,150,2,1,1
Butter Naan,200,5,30,6,General health,Whole Grains,Vegetarian,1,3,250,0,0,0
Kadhi Chawal,250,8,30,10,General health,Vegetarian,None,3,2,250,5,1,1
Mango Lassi,150,3,25,4,General health,Beverages,None,20,1,20,5,1,1
Egg Curry,280,20,10,18,Weight loss,Protein-Rich Foods,None,2,3,350,10,2,2
Idli Sambar,200,5,40,2,General health,Vegetarian,None,2,5,200,8,1,1
Sarson Da Saag,120,5,15,6,General health,Vegetarian,None,2,3,150,10,1,1
Gulab Jamun,150,2,30,5,Indulgence,Sweets,None,15,1,20,0,0,0
Tandoori Roti,100,3,15,2,General health,Whole Grains,Vegetarian,0,2,150,0,0,0
Aloo Matar,180,4,25,7,General health,Vegetarian,None,2,4,200,5,1,1
Bhutte Ka Kees,200,5,30,8,General health,Vegetarian,None,3,3,150,8,1,1
Jalebi,200,2,40,8,Indulgence,Sweets,None,20,0,10,0,0,0
Papdi Chaat,250,5,30,10,General health,Snacks,None,3,2,200,5,2,2
Raj Kachori,300,8,40,15,Indulgence,Snacks,None,5,4,250,2,2,2
Samosa Chaat,200,5,25,10,General health,Snacks,None,3,2,150,5,1,1
Gajar Ka Halwa,180,3,25,8,Indulgence,Sweets,None,10,2,20,0,0,0
Bhindi Masala,120,3,15,7,General health,Vegetarian,None,2,4,200,10,1,1
Aloo Methi,150,4,20,6,General health,Vegetarian,None,2,3,150,5,1,1
Gobi Manchurian,250,5,30,12,Indulgence,Vegetarian,None,5,4,300,2,2,2
Pav Bhaji,300,5,40,12,General health,Vegetarian,None,5,6,400,10,2,2
Tandoori Chicken,250,25,0,15,Weight loss,Protein-Rich Foods,None,0,0,350,10,2,2
Butter Chicken,350,25,15,20,Weight loss,Protein-Rich Foods,None,3,2,400,10,2,2
Vegetable Biryani,300,7,40,10,General health,Vegetarian,None,2,5,300,8,2,2
Chana Masala,180,8,25,6,General health,Vegetarian,None,2,7,300,5,2,2
Dhokla,150,5,30,2,General health,Vegetarian,None,1,3,150,2,1,1
Chicken Korma,280,20,10,15,Weight loss,Protein-Rich Foods,None,2,3,350,10,2,2
Puliyodarai(Tamarind Rice),250,5,40,8,General health,Vegetarian,None,2,4,200,5,1,1
Matar Pulao,200,5,35,6,General health,Vegetarian,None,1,3,150,2,1,1
Chicken 65,300,15,10,20,Weight loss,Protein-Rich Foods,None,1,2,300,10,2,2
Kheer,150,3,20,7,Indulgence,Sweets,None,12,1,10,2,1,1
Palak Paneer,200,10,15,12,General health,Vegetarian,None,2,3,200,15,2,2
Bhatura,250,5,30,10,Indulgence,Vegetarian,None,2,2,200,0,0,0
Chole Bhature,300,8,40,12,General health,Vegetarian,None,2,5,300,8,2,2
Mango Pickle,50,1,10,3,General health,Vegetarian,None,5,2,100,2,1,1
Baingan Bharta,150,5,20,8,General health,Vegetarian,None,2,3,150,10,1,1
Papaya Salad,80,1,20,0.5,General health,Vegetarian,None,8,3,50,15,1,1
Aloo Paratha,250,5,30,12,General health,Vegetarian,None,1,3,200,10,1,1
Fish Curry,250,20,15,12,Weight loss,Protein-Rich Foods,None,2,3,300,10,2,2
Paneer Tikka,200,15,10,10,General health,Vegetarian,None,2,2,250,8,2,2
Chicken Biryani,300,20,30,15,Weight loss,Protein-Rich Foods,None,2,3,400,10,2,2
Dhokla,150,5,30,2,General health,Vegetarian,None,1,3,150,2,1,1
Poha,180,4,35,3,General health,Vegetarian,None,1,3,150,2,1,1
Tandoori Roti,100,3,15,2,General health,Whole Grains,Vegetarian,0,2,150,0,0,0
Rajma Chawal,250,10,40,5,General health,Vegetarian,None,2,8,300,8,2,2
Lassi,120,3,15,6,General health,Beverages,None,10,1,20,5,1,1
Chicken Korma,280,20,10,15,Weight loss,Protein-Rich Foods,None,2,3,350,10,2,2
Masoor Dal,150,8,20,2,General health,Vegetarian,None,1,8,200,5,1,1
Bhindi Fry,120,3,15,7,General health,Vegetarian,None,2,4,200,10,1,1
Jeera Rice,150,3,30,2,General health,Vegetarian,None,0,1,0,0,0,0
Rava Upma,180,5,35,4,General health,Vegetarian,None,1,4,150,2,1,1
Aloo Gobi,150,5,20,8,General health,Vegetarian,None,3,4,250,15,1,1
Gajar Ka Halwa,180,3,25,8,Indulgence,Sweets,None,10,2,20,0,0,0
Palak Puri,200,4,30,6,General health,Vegetarian,None,1,3,150,2,1,1
Chicken Saagwala,250,20,15,10,Weight loss,Protein-Rich Foods,None,2,3,300,10,2,2
Vada Pav,300,5,40,12,Indulgence,Vegetarian,None,5,6,400,10,2,2
Aloo Methi,150,4,20,6,General health,Vegetarian,None,2,3,150,5,1,1
Rajasthani Gatte Ki Sabzi,180,6,25,7,General health,Vegetarian,None,2,4,200,10,1,1
Masala Dosa,200,5,30,8,General health,Vegetarian,None,1,3,200,5,1,1
Tandoori Roti,100,3,15,2,General health,Whole Grains,Vegetarian,0,2,150,0,0,0
Chicken Chettinad,300,25,10,15,Weight loss,Protein-Rich Foods,None,2,3,350,10,2,2
Kadhi Pakora,150,5,15,7,General health,Vegetarian,None,2,4,200,5,1,1
Vegetable Biryani,300,7,40,10,General health,Vegetarian,None,2,5,300,8,2,2
Malai Kofta,250,8,20,15,General health,Vegetarian,None,3,3,250,8,2,2
Methi Thepla,150,4,25,4,General health,Whole Grains,Vegetarian,0,2,200,2,1,1
Kofta Curry,250,10,15,18,General health,Vegetarian,None,3,2,250,5,1,1
Pav Bhaji,300,5,40,12,General health,Vegetarian,None,5,6,400,10,2,2
Gobi Manchurian,250,5,30,12,Indulgence,Vegetarian,None,5,4,300,2,2,2
Sarson Da Saag,120,5,15,6,General health,Vegetarian,None,2,3,150,10,1,1
Chicken Kebab,200,18,2,12,Weight loss,Protein-Rich Foods,None,1,2,300,10,2,2
Aloo Tikki,100,2,15,5,General health,Snacks,None,1,2,150,2,1,1
Mango Shake,150,3,25,4,General health,Beverages,None,15,1,20,5,1,1
Baingan Bharta,120,5,15,6,General health,Vegetarian,None,2,3,150,10,1,1
Rajma Chawal,250,10,40,5,General health,Vegetarian,None,2,8,300,8,2,2
Gajar Halwa,200,3,30,8,Indulgence,Sweets,None,15,2,20,0,0,0
Raita,80,4,8,4,General health,Vegetarian,None,3,1,50,2,1,1
Chole Bhature,300,8,40,12,General health,Vegetarian,None,2,5,300,8,2,2
Kheer,150,3,20,7,Indulgence,Sweets,None,12,1,10,2,1,1
Masala Papad,50,2,5,3,General health,Vegetarian,None,1,2,50,0,0,0
Kachumber Salad,30,1,5,1,General health,Vegetarian,None,2,1,20,10,1,1
Dhokla,150,5,30,2,General health,Vegetarian,None,1,3,150,2,1,1
Missi Roti,150,6,20,5,General health,Vegetarian,None,1,2,150,0,0,0
Samosa,200,3,25,10,General health,Vegetarian,None,2,2,150,5,1,1
Pani Puri,100,2,20,2,General health,Snacks,None,3,2,100,2,1,1
Rasam,50,2,10,1,General health,Vegetarian,None,1,1,50,2,1,1
Jhalmuri,120,3,25,2,General health,Snacks,None,1,4,100,2,1,1
Dum Aloo,180,4,20,10,General health,Vegetarian,None,2,3,200,5,1,1
Masala Chaas,40,2,5,1,General health,Beverages,None,2,1,30,2,0,0
Palak Pakora,150,5,15,7,General health,Vegetarian,None,1,2,150,5,1,1
Bisi Bele Bath,250,8,40,5,General health,Vegetarian,None,2,5,250,5,2,2
Aloo Jeera,120,3,20,5,General health,Vegetarian,None,1,2,150,5,1,1
Dal Makhani,250,10,25,12,General health,Vegetarian,None,2,5,250,8,2,2
Pesarattu (Green Gram Dosa),180,6,25,5,General health,Vegetarian,None,1,4,200,2,1,1
Baingan Bhaja,100,2,15,4,General health,Vegetarian,None,1,3,100,2,1,1
Malabar Parotta,200,4,25,10,General health,Whole Grains,Vegetarian,0,2,150,0,0,0
Mutton Biryani,350,25,30,18,Weight loss,Protein-Rich Foods,None,2,3,400,10,2,2
Soya Chaap,180,15,10,8,Weight loss,Protein-Rich Foods,None,1,2,200,5,1,1
Kokum Sharbat,80,1,20,0,General health,Beverages,None,15,1,10,2,0,0
Paneer Bhurji,150,10,5,12,General health,Vegetarian,None,2,1,200,10,1,1
Keema Samosa,200,6,20,10,General health,Snacks,None,2,2,150,5,1,1
