food,calorie,protein,carbs,fat,Goals,Preferences,Restrictions
Tandoori Roti,100,3,15,2,General health,Whole Grains,Vegetarian
Chicken Curry,250,20,10,15,Weight loss,Protein-Rich Foods,None
Vegetable Pulao,200,5,35,5,General health,Vegetarian,None
Lassi,80,3,10,2,General health,Beverages,None
Baingan Bharta,120,5,15,6,General health,Vegetarian,None
Papad,50,2,10,0,General health,Vegetarian,None
Mango,60,1,15,0.3,General health,Fruits,None
Cabbage Sabzi,90,2,15,3,General health,Vegetarian,None
Roti,80,2,15,1,General health,Whole Grains,Vegetarian
Chicken Masala,280,20,15,18,Weight loss,Protein-Rich Foods,None
Vegetable Biryani,250,5,40,8,General health,Vegetarian,None
Aloo Paratha,300,5,30,15,General health,Vegetarian,None
Chana Masala,200,10,25,5,General health,Vegetarian,None
Dal Fry,150,8,20,5,General health,Vegetarian,None
Curd,60,3,6,3,General health,Dairy,None
Pav Bhaji,300,5,40,12,General health,Vegetarian,None
Masoor Dal,120,9,20,2,General health,Vegetarian,None
Chapati,80,2,15,1,General health,Whole Grains,Vegetarian
Bhindi Masala,100,3,15,5,General health,Vegetarian,None
Samosa,150,3,20,7,General health,Snacks,None
Jeera Rice,150,3,30,2,General health,Vegetarian,None
Aloo Gobi,150,5,20,8,General health,Vegetarian,None
Butter Naan,200,5,30,6,General health,Whole Grains,Vegetarian
Palak Dal,130,7,15,6,General health,Vegetarian,None
Chole,180,10,25,5,General health,Vegetarian,None
Mango Lassi,120,3,20,3,General health,Beverages,None
Aloo Paratha,250,5,30,12,General health,Vegetarian,None
Rajma,160,8,30,2,General health,Vegetarian,None
Poha,150,3,30,2,General health,Vegetarian,None
Tandoori Chicken,300,25,0,15,Weight loss,Protein-Rich Foods,None
Biryani,300,7,40,10,General health,Vegetarian,None
Mango,60,1,15,0.3,General health,Fruits,None
Chapati,80,2,15,1,General health,Whole Grains,Vegetarian
Dhokla,120,5,25,2,General health,Vegetarian,None
Butter Chicken,350,25,15,20,Weight loss,Protein-Rich Foods,None
Samosa,150,3,20,7,General health,Snacks,None
Chana Masala,180,8,25,6,General health,Vegetarian,None
Bhindi Fry,120,3,15,7,General health,Vegetarian,None
Rice,100,2,20,0.5,General health,Whole Grains,Vegetarian
Chicken Curry,250,20,10,15,Weight loss,Protein-Rich Foods,None
Dal Makhani,200,10,20,10,General health,Vegetarian,None
Aloo Jeera,150,3,25,5,General health,Vegetarian,None
Roti,80,2,15,1,General health,Whole Grains,Vegetarian
Paneer Tikka Masala,300,15,20,18,Weight loss,Vegetarian,None
Sambhar,120,5,25,2,General health,Vegetarian,None
Masala Chai,50,1,8,2,General health,Beverages,Caffeine sensitive
Pav Bhaji,300,5,40,12,General health,Vegetarian,None
Dosa,120,2,25,2,General health,Vegetarian,None
Chicken Tikka,200,15,5,12,Weight loss,Protein-Rich Foods,None
Upma,180,4,30,5,General health,Vegetarian,None
Butter Roti,150,3,20,6,General health,Whole Grains,Vegetarian
Kadhi Chawal,250,8,30,10,General health,Vegetarian,None
Mango Shake,150,3,25,4,General health,Beverages,None
Egg Curry,280,20,10,18,Weight loss,Protein-Rich Foods,None
Idli Sambar,200,5,40,2,General health,Vegetarian,None
Masala Chai,50,1,8,2,General health,Beverages,Caffeine sensitive
Aloo Gobi,150,5,20,8,General health,Vegetarian,None
Fish Curry,250,20,15,12,Weight loss,Protein-Rich Foods,None
Cabbage Sabzi,100,2,15,5,General health,Vegetarian,None
Lentil Soup (Dal),120,8,15,3,General health,Vegetarian,None
Curd Rice,180,5,25,6,General health,Vegetarian,None
Bhindi Masala,120,3,15,7,General health,Vegetarian,None
Puri Bhaji,300,5,40,12,General health,Vegetarian,None
Chicken Biryani,300,20,30,15,Weight loss,Protein-Rich Foods,None
Rajma Chawal,250,10,40,5,General health,Vegetarian,None
Egg Bhurji,200,15,10,12,Weight loss,Protein-Rich Foods,None
Vegetable Biryani,300,7,40,10,General health,Vegetarian,None
Methi Thepla,120,3,20,5,General health,Whole Grains,Vegetarian
Butter Chicken,350,25,15,20,Weight loss,Protein-Rich Foods,None
Tomato Rasam,80,2,15,1,General health,Vegetarian,None
Mango Lassi,150,5,30,2,General health,Beverages,None
Poha,180,4,35,3,General health,Vegetarian,None
Chicken Korma,280,20,10,15,Weight loss,Protein-Rich Foods,None
Masala Chai,50,1,8,2,General health,Beverages,Caffeine sensitive
Paneer Butter Masala,300,15,20,18,Weight loss,Vegetarian,None
Bhindi Fry,120,3,15,7,General health,Vegetarian,None
Aloo Paratha,250,5,30,12,General health,Vegetarian,None
Fish Curry,250,20,15,12,Weight loss,Protein-Rich Foods,None
Vegetable Pulao,200,5,35,5,General health,Vegetarian,None
Masoor Dal,150,8,20,2,General health,Vegetarian,None
Cabbage Sabzi,100,2,15,5,General health,Vegetarian,None
Rice,100,2,20,0.5,General health,Whole Grains,Vegetarian
Tandoori Roti,100,3,15,2,General health,Whole Grains,Vegetarian
Mango,60,1,15,0.3,General health,Fruits,None
Dhokla,150,5,30,2,General health,Vegetarian,None
Chicken Kebab,200,18,2,12,Weight loss,Protein-Rich Foods,None
Jeera Rice,150,3,30,2,General health,Vegetarian,None
Baingan Bharta,120,5,15,6,General health,Vegetarian,None
Chana Chaat,120,7,20,2,General health,Vegetarian,None
Mango,60,1,15,0.3,General health,Fruits,None
Chapati,80,2,15,1,General health,Whole Grains,Vegetarian
Rasam,50,1,10,1,General health,Vegetarian,None
Aloo Baingan,120,3,20,5,General health,Vegetarian,None
Masala Chai,50,1,8,2,General health,Beverages,Caffeine sensitive
Puri,150,3,25,6,General health,Vegetarian,None
Lemon Rice,200,4,40,5,General health,Vegetarian,None
Tandoori Chicken,250,25,0,15,Weight loss,Protein-Rich Foods,None
Vegetable Samosa,150,3,20,7,General health,Snacks,None
Raita,80,4,8,4,General health,Vegetarian,None
Chicken Biryani,300,20,30,15,Weight loss,Protein-Rich Foods,None
Bhindi Masala,120,3,15,7,General health,Vegetarian,None
Aloo Tikki,100,2,15,5,General health,Snacks,None
Mango Shake,150,3,25,4,General health,Beverages,None
Pav Bhaji,300,5,40,12,General health,Vegetarian,None
Masala Dosa,200,5,30,8,General health,Vegetarian,None
Chicken Curry,250,20,15,12,Weight loss,Protein-Rich Foods,None
Vegetable Upma,150,4,30,3,General health,Vegetarian,None
Butter Naan,200,5,30,6,General health,Whole Grains,Vegetarian
Kadhi Chawal,250,8,30,10,General health,Vegetarian,None
Mango Lassi,150,3,25,4,General health,Beverages,None
Egg Curry,280,20,10,18,Weight loss,Protein-Rich Foods,None
Idli Sambar,200,5,40,2,General health,Vegetarian,None
Sarson Da Saag,120,5,15,6,General health,Vegetarian,None
Gulab Jamun,150,2,30,5,Indulgence,Sweets,None
Tandoori Roti,100,3,15,2,General health,Whole Grains,Vegetarian
Aloo Matar,180,4,25,7,General health,Vegetarian,None
Bhutte Ka Kees,200,5,30,8,General health,Vegetarian,None
Jalebi,200,2,40,8,Indulgence,Sweets,None
Papdi Chaat,250,5,30,10,General health,Snacks,None
Raj Kachori,300,8,40,15,Indulgence,Snacks,None
Samosa Chaat,200,5,25,10,General health,Snacks,None
Gajar Ka Halwa,180,3,25,8,Indulgence,Sweets,None
Bhindi Masala,120,3,15,7,General health,Vegetarian,None
Aloo Methi,150,4,20,6,General health,Vegetarian,None
Gobi Manchurian,250,5,30,12,Indulgence,Vegetarian,None
Pav Bhaji,300,5,40,12,General health,Vegetarian,None
Tandoori Chicken,250,25,0,15,Weight loss,Protein-Rich Foods,None
Butter Chicken,350,25,15,20,Weight loss,Protein-Rich Foods,None
Vegetable Biryani,300,7,40,10,General health,Vegetarian,None
Chana Masala,180,8,25,6,General health,Vegetarian,None
Dhokla,150,5,30,2,General health,Vegetarian,None
Chicken Korma,280,20,10,15,Weight loss,Protein-Rich Foods,None
Puliyodarai(Tamarind Rice),250,5,40,8,General health,Vegetarian,None
Matar Pulao,200,5,35,6,General health,Vegetarian,None
Chicken 65,300,15,10,20,Weight loss,Protein-Rich Foods,None
Kheer,150,3,20,7,Indulgence,Sweets,None
Palak Paneer,200,10,15,12,General health,Vegetarian,None
Bhatura,250,5,30,10,Indulgence,Vegetarian,None
Chole Bhature,300,8,40,12,General health,Vegetarian,None
Mango Pickle,50,1,10,3,General health,Vegetarian,None
Baingan Bharta,150,5,20,8,General health,Vegetarian,None
Papaya Salad,80,1,20,0.5,General health,Vegetarian,None
Aloo Paratha,250,5,30,12,General health,Vegetarian,None
Fish Curry,250,20,15,12,Weight loss,Protein-Rich Foods,None
Paneer Tikka,200,15,10,10,General health,Vegetarian,None
Chicken Biryani,300,20,30,15,Weight loss,Protein-Rich Foods,None
Dhokla,150,5,30,2,General health,Vegetarian,None
Poha,180,4,35,3,General health,Vegetarian,None
Tandoori Roti,100,3,15,2,General health,Whole Grains,Vegetarian
Rajma Chawal,250,10,40,5,General health,Vegetarian,None
Lassi,120,3,15,6,General health,Beverages,None
Chicken Korma,280,20,10,15,Weight loss,Protein-Rich Foods,None
Masoor Dal,150,8,20,2,General health,Vegetarian,None
Bhindi Fry,120,3,15,7,General health,Vegetarian,None
Jeera Rice,150,3,30,2,General health,Vegetarian,None
Rava Upma,180,5,35,4,General health,Vegetarian,None
Aloo Gobi,150,5,20,8,General health,Vegetarian,None
Gajar Ka Halwa,180,3,25,8,Indulgence,Sweets,None
Palak Puri,200,4,30,6,General health,Vegetarian,None
Chicken Saagwala,250,20,15,10,Weight loss,Protein-Rich Foods,None
Vada Pav,300,5,40,12,Indulgence,Vegetarian,None
Aloo Methi,150,4,20,6,General health,Vegetarian,None
Rajasthani Gatte Ki Sabzi,180,6,25,7,General health,Vegetarian,None
Masala Dosa,200,5,30,8,General health,Vegetarian,None
Tandoori Roti,100,3,15,2,General health,Whole Grains,Vegetarian
Chicken Chettinad,300,25,10,15,Weight loss,Protein-Rich Foods,None
Kadhi Pakora,150,5,15,7,General health,Vegetarian,None
Vegetable Biryani,300,7,40,10,General health,Vegetarian,None
Malai Kofta,250,8,20,15,General health,Vegetarian,None
Methi Thepla,150,4,25,4,General health,Whole Grains,Vegetarian
Kofta Curry,250,10,15,18,General health,Vegetarian,None
Pav Bhaji,300,5,40,12,General health,Vegetarian,None
Gobi Manchurian,250,5,30,12,Indulgence,Vegetarian,None
Sarson Da Saag,120,5,15,6,General health,Vegetarian,None
Chicken Kebab,200,18,2,12,Weight loss,Protein-Rich Foods,None
Aloo Tikki,100,2,15,5,General health,Snacks,None
Mango Shake,150,3,25,4,General health,Beverages,None
Baingan Bharta,120,5,15,6,General health,Vegetarian,None
Rajma Chawal,250,10,40,5,General health,Vegetarian,None
Gajar Halwa,200,3,30,8,Indulgence,Sweets,None
Raita,80,4,8,4,General health,Vegetarian,None
Chole Bhature,300,8,40,12,General health,Vegetarian,None
Kheer,150,3,20,7,Indulgence,Sweets,None
Masala Papad,50,2,5,3,General health,Vegetarian,None
Kachumber Salad,30,1,5,1,General health,Vegetarian,None
Dhokla,150,5,30,2,General health,Vegetarian,None
Missi Roti,150,6,20,5,General health,Vegetarian,None
Samosa,200,3,25,10,General health,Vegetarian,None
Pani Puri,100,2,20,2,General health,Snacks,None
Rasam,50,2,10,1,General health,Vegetarian,None
Jhalmuri,120,3,25,2,General health,Snacks,None
Dum Aloo,180,4,20,10,General health,Vegetarian,None
Masala Chaas,40,2,5,1,General health,Beverages,None
Palak Pakora,150,5,15,7,General health,Vegetarian,None
Bisi Bele Bath,250,8,40,5,General health,Vegetarian,None
Aloo Jeera,120,3,20,5,General health,Vegetarian,None
Dal Makhani,250,10,25,12,General health,Vegetarian,None
Pesarattu (Green Gram Dosa),180,6,25,5,General health,Vegetarian,None
Baingan Bhaja,100,2,15,4,General health,Vegetarian,None
Malabar Parotta,200,4,25,10,General health,Whole Grains,Vegetarian
Mutton Biryani,350,25,30,18,Weight loss,Protein-Rich Foods,None
Soya Chaap,180,15,10,8,Weight loss,Protein-Rich Foods,None
Kokum Sharbat,80,1,20,0,General health,Beverages,None
Paneer Bhurji,150,10,5,12,General health,Vegetarian,None
Keema Samosa,200,6,20,10,General health,Snacks,None
Bhindi Masala,120,3,15,7,General health,Vegetarian,None
Chapati,100,3,20,1,General health,Whole Grains,Vegetarian
Mutton Rogan Josh,300,20,15,18,Weight loss,Protein-Rich Foods,None
Aloo Paratha,250,5,30,12,General health,Vegetarian,None
Rajma Masala,180,8,25,6,General health,Vegetarian,None
Tandoori Naan,150,5,20,4,General health,Whole Grains,Vegetarian
Chicken Tikka,200,18,3,12,Weight loss,Protein-Rich Foods,None
Methi Paratha,150,4,20,5,General health,Vegetarian,None
Mango Chutney,80,1,20,0.5,General health,Vegetarian,None
Rava Kesari,200,3,40,5,Indulgence,Sweets,None
Guava,68,2.6,14,0.9,General health,Fruits,None
Papaya,59,0.5,15,0.4,General health,Fruits,None
Mango,60,0.8,15,0.4,General health,Fruits,None
Banana,105,1.3,27,0.3,General health,Fruits,None
Pineapple,50,0.5,13,0.1,General health,Fruits,None
Pomegranate,83,1.7,18.7,1.2,General health,Fruits,None
Apple,52,0.3,14,0.2,General health,Fruits,None
Orange,43,1,8.3,0.2,General health,Fruits,None
Kiwi,61,1.1,14.6,0.5,General health,Fruits,None
Watermelon,30,0.6,8,0.2,General health,Fruits,None
Mango Lassi,150,3,25,4,General health,Beverages,None
Grapes,69,0.6,18,0.2,General health,Fruits,None
Sitaphal(Custard Apple),94,2.1,23.6,0.5,General health,Fruits,None
Jamun,60,0.9,14,0.3,General health,Fruits,None
Sapota(Chikoo),83,0.9,19,0.5,General health,Fruits,None
Jackfruit,95,2.5,24,0.3,General health,Fruits,None
Papaya Salad,80,1,20,0.5,General health,Fruits,None
Strawberry,32,0.7,7.7,0.3,General health,Fruits,None
Kiwi,61,1.1,14.6,0.5,General health,Fruits,None
Chikoo Milkshake,120,2,28,1,General health,Beverages,None
Banana Smoothie,120,2,30,1,General health,Beverages,None
Papaya Salad,80,1,20,0.5,General health,Fruits,None
Kokum Sherbet,50,0.5,12,0,General health,Beverages,None
Fig (Anjeer),74,0.8,19,0.3,General health,Fruits,None
Dates,282,2.5,75,0.4,General health,Fruits,None
Custard Apple Milkshake,150,2,30,2,General health,Beverages,None
Mango Chaat,100,1,25,0.5,General health,Fruits,None
Pomegranate Raita,90,3,12,4,General health,Vegetarian,None
Mango Sorbet,120,1,30,0,General health,Fruits,None
Lychee,66,0.8,17,0.4,General health,Fruits,None
Kesar Pista Milk,150,5,15,7,General health,Beverages,None
Papaya Smoothie,120,2,30,0.5,General health,Fruits,None
Guava Chaat,80,2,20,0.5,General health,Fruits,None
Kokum Panna,60,0.5,15,0,General health,Beverages,None
Dragon Fruit,60,1,13,1,General health,Fruits,None
Kokum Jelly,100,0.5,25,0.2,General health,Fruits,None
Kiwi Salad,70,1.5,15,1,General health,Fruits,None
Mango Lollipop,40,0.5,10,0,General health,Fruits,None
Jamun Juice,50,1,12,0,General health,Beverages,None
Lychee Sarbat,120,1,30,0.5,General health,Fruits,None
Masala Chai,50,1,10,1,General health,Beverages,None
Buttermilk,30,2,4,1,General health,Beverages,None
Thandai,100,2,20,3,General health,Beverages,None
Aam Panna,70,1,18,0.5,General health,Beverages,None
Jaljeera,40,1,10,0.5,General health,Beverages,None
Kokum Sharbat,60,0.5,15,0,General health,Beverages,None
Mango Juice (Packaged),120,1,30,0.5,General health,Beverages,None
Lemonade,30,0.5,8,0,General health,Beverages,None
Iced Tea (Packaged),70,0,18,0,General health,Beverages,None
Coconut Water,46,0.9,8.9,0.2,General health,Beverages,None
Rose Sherbet,80,0.5,20,0,General health,Beverages,None
Chaas (Spiced Buttermilk),25,2,3,1,General health,Beverages,None
Kesar Badam Milk,120,5,15,6,General health,Beverages,None
Ginger Tea,30,1,5,1,General health,Beverages,None
Bel (Wood Apple) Sharbat,70,0.5,18,0.3,General health,Beverages,None
Guava Juice (Packaged),100,1,25,0.5,General health,Beverages,None
Sattu Drink,60,5,10,1,General health,Beverages,None
Nimbu Pani,40,0.5,10,0,General health,Beverages,None
Mango Lassi (Packaged),150,2,30,2,General health,Beverages,None
Kokum Solkadhi,50,1,12,0.5,General health,Beverages,None
Aam Ras (Packaged),120,1,30,0.5,General health,Beverages,None
Jaljeera Soda (Packaged),90,0.5,22,0,General health,Beverages,None
Kokum Juice (Packaged),80,0.5,20,0.2,General health,Beverages,None
Masala Lemonade (Packaged),70,0.5,18,0,General health,Beverages,None
Thums Up (Indian Cola),150,0,38,0,General health,Beverages,None
Pepsi (Packaged),140,0,37,0,General health,Beverages,None
Limca (Lemon-Lime Soda),110,0,28,0,General health,Beverages,None
Sprite (Packaged),130,0,34,0,General health,Beverages,None
Frooti (Mango Drink),100,0,25,0,General health,Beverages,None
Maaza (Mango Drink),120,0,30,0,General health,Beverages,None
Rooh Afza Sharbat (Concentrate),70,0,18,0,General health,Beverages,None
Paper Boat Aamras (Packaged),120,1,30,0.5,General health,Beverages,None
Lassi (Packaged),100,2,15,4,General health,Beverages,None
Tzinga Energy Drink,120,0,30,0,General health,Beverages,None
Bovonto (Indian Cola),150,0,38,0,General health,Beverages,None
Appy Fizz (Apple Drink),90,0,22,0,General health,Beverages,None
Limca (Lemon-Lime Soda),110,0,28,0,General health,Beverages,None
Pepsi (Packaged),140,0,37,0,General health,Beverages,None
Mirinda (Orange Drink),120,0,30,0,General health,Beverages,None
Sprite (Packaged),130,0,34,0,General health,Beverages,None
Boroline (Packaged),10,0,2,0,General health,None,None
Rooh Afza Lemonade (Packaged),80,0,20,0,General health,Beverages,None
Rasna (Fruit Drink Mix),60,0,15,0,General health,Beverages,None
Kala Khatta (Packaged),70,0,18,0,General health,Beverages,None
Sosyo (Indian Cola),120,0,30,0,General health,Beverages,None
Coca-Cola (Packaged),140,0,39,0,General health,Beverages,None
Thums Up (Packaged),150,0,38,0,General health,Beverages,None
7UP (Packaged),140,0,36,0,General health,Beverages,None
Mountain Dew (Packaged),170,0,46,0,General health,Beverages,None
Appy Classic (Apple Drink),80,0,20,0,General health,Beverages,None
Taj Mahal Tea (Packaged),5,0,1,0,General health,Beverages,None
Rooh Afza Lemonade (Packaged),80,0,20,0,General health,Beverages,None
Kissan Mixed Fruit Jam (Packaged),50,0,13,0,General health,Condiments,None
Bru Instant Coffee (Packaged),2,0,0,0,General health,Beverages,None
Real Fruit Power (Packaged),60,0,15,0,General health,Beverages,None
Bournvita (Malt Drink Mix),80,2,15,1,General health,Beverages,None
Horlicks (Malt Drink Mix),100,3,15,2,General health,Beverages,None
Paper Boat Aamras (Packaged),120,1,30,0.5,General health,Beverages,None
Thums Up (Packaged),150,0,38,0,General health,Beverages,None
Sprite (Packaged),130,0,34,0,General health,Beverages,None
Pani Puri (Golgappa),10,0.5,2,0,Indulgence,Street Food,None
Bhel Puri,150,3,30,5,Indulgence,Street Food,None
Vada Pav,300,5,45,12,Indulgence,Street Food,None
Samosa,120,2,15,6,Indulgence,Street Food,None
Paneer Tikka,200,10,15,12,Indulgence,Indian,None
Kachori,250,3,20,16,Indulgence,Street Food,None
Chole Bhature,500,10,60,20,Indulgence,Indian,None
Pav Bhaji,350,5,50,15,Indulgence,Street Food,None
Dahi Puri,120,3,20,4,Indulgence,Street Food,None
Aloo Tikki,100,2,15,4,Indulgence,Street Food,None
Dosa with Coconut Chutney,250,5,50,2,Indulgence,South Indian,None
Kathi Roll (Paneer),300,10,25,15,Indulgence,Indian,None
Pav Bhaji Pizza,400,8,45,20,Indulgence,Fusion,None
Chicken Biryani,500,20,60,20,Indulgence,Indian,None
Chole Kulche,350,10,60,5,Indulgence,North Indian,None
Idli Sambhar,200,4,40,1,Indulgence,South Indian,None
Momos with Spicy Sauce,150,5,20,5,Indulgence,Tibetan,None
Jalebi,250,1,60,10,Indulgence,Indian,None
Aloo Chaat,180,3,25,8,Indulgence,Street Food,None
Bread Pakora,200,5,20,12,Indulgence,Indian,None
Veg Hakka Noodles,300,8,45,10,Indulgence,Indo-Chinese,None
Chicken Seekh Kebab,180,15,5,12,Indulgence,Indian,None
Papdi Chaat,200,4,25,10,Indulgence,Street Food,None
Raj Kachori,350,6,40,18,Indulgence,Street Food,None
Kadai Paneer,250,12,15,18,Indulgence,Indian,None
Aloo Paratha,350,8,50,15,Indulgence,North Indian,None
Dabeli,300,5,40,12,Indulgence,Street Food,None
Paneer Pakora,180,10,15,12,Indulgence,Indian,None
Egg Roll,250,12,20,15,Indulgence,Indian,None
Vada Pav,200,4,25,10,Indulgence,Street Food,None
Schezwan Dosa,280,6,40,10,Indulgence,Indo-Chinese,None
Ragda Pattice,350,8,55,12,Indulgence,Street Food,None
Chana Chaat,180,5,30,5,Indulgence,Street Food,None
Mutton Biryani,550,25,60,25,Indulgence,Indian,None
Paneer Tikka Pizza,400,12,35,18,Indulgence,Fusion,None
Bhutte Ka Kees,200,5,30,8,Indulgence,Indian,None
Kalmi Kebab,220,18,10,15,Indulgence,Indian,None
Chole Bhature,450,12,60,20,Indulgence,North Indian,None
Baida Roti,300,15,20,18,Indulgence,Indian,None
Dhokla,120,5,20,2,Indulgence,Gujarati,None
Mutton Roll,300,15,25,15,Indulgence,Indian,None
Bhurji Pav,250,10,15,18,Indulgence,Indian,None
Methi Thepla,200,5,30,8,Indulgence,Gujarati,None
Keema Samosa,180,8,15,10,Indulgence,Indian,None
Fish Curry Rice,400,20,40,15,Indulgence,Seafood,None
Kadai Chicken,300,18,12,20,Indulgence,Indian,None
Mysore Pak,200,5,30,10,Indulgence,Sweets,None
Butter Chicken,450,20,25,30,Indulgence,Indian,None
Palak Chaat,180,5,25,8,Indulgence,Street Food,None
Tandoori Momos,250,12,20,12,Indulgence,Tibetan,None
Chole Samosa Chaat,250,7,40,8,Indulgence,Street Food,None
Achari Paneer Tikka,180,12,10,14,Indulgence,Indian,None
Misal Pav,300,10,45,12,Indulgence,Street Food,None
Chicken Korma,350,15,20,25,Indulgence,Indian,None
Dahi Ke Kebab,200,8,15,12,Indulgence,Indian,None
Bread Upma,220,6,30,8,Indulgence,Indian,None
Pav Bhaji Cones,180,5,25,10,Indulgence,Street Food,None
Rajma Chawal Cutlet,150,6,20,6,Indulgence,North Indian,None
Cheese Burst Pizza,400,15,40,20,Indulgence,Fusion,None
Paneer Chilli Dosa,300,10,25,15,Indulgence,Indo-Chinese,None
Aloo Tikki Burger,300,8,45,12,Indulgence,Street Food,None
Fish Tikka Wrap,250,15,20,15,Indulgence,Seafood,None
Papad Chaat,180,3,20,10,Indulgence,Street Food,None
Mughlai Paratha,350,10,50,15,Indulgence,North Indian,None
Veg Momos,120,5,15,6,Indulgence,Tibetan,None
Chilli Cheese Toast,200,8,20,10,Indulgence,Indian,None
Chicken Kathi Roll,300,15,25,18,Indulgence,Indian,None
Pav Bhaji Fondue,350,8,50,15,Indulgence,Fusion,None
Poha Cutlet,180,5,25,8,Indulgence,Indian,None
Dal Baati Churma,400,15,40,20,Indulgence,Rajasthani,None
Masala Dosa,320,10,40,15,Indulgence,Indo-Chinese,None
Achari Chicken Roll,280,15,20,18,Indulgence,Indian,None
Bhindi Kurkure,180,4,25,8,Indulgence,Indian,None
Chapati Noodles,250,6,30,12,Indulgence,Indo-Chinese,None
Bread Pakora Burger,300,8,40,12,Indulgence,Street Food,None
Kheema Pav,350,18,20,25,Indulgence,Indian,None
Maggi Pakora,200,5,25,10,Indulgence,Street Food,None
Palak Corn Sandwich,180,8,20,8,Indulgence,Indian,None
Vegetarian Momos,150,6,15,8,Indulgence,Tibetan,None
Gulab Jamun Shake,250,5,30,10,Indulgence,Sweets,None
Paneer Frankie,300,12,25,15,Indulgence,Indian,None
Aloo Bonda,180,5,20,10,Indulgence,Indian,None
Chilli Paneer Pizza,400,15,35,20,Indulgence,Fusion,None
Dhokla Sandwich,250,7,30,10,Indulgence,Gujarati,None
Mutton Kebab Roll,350,20,15,25,Indulgence,Indian,None
Rajma Pizza,300,10,40,12,Indulgence,Indian,None
Veg Hakka Noodles Wrap,280,8,35,12,Indulgence,Indo-Chinese,None
Cheese Pav Bhaji,350,10,45,15,Indulgence,Street Food,None
Chicken 65 Burger,320,18,20,20,Indulgence,Indian,None
Peanut Masala Chaat,200,8,15,12,Indulgence,Street Food,None
Chicken Tikka Biryani,500,25,60,20,Indulgence,Indian,None
Mushroom Manchurian Roll,300,10,25,18,Indulgence,Indo-Chinese,None
Gobi 65,250,8,30,12,Indulgence,Indian,None
Samosa Chaat Salad,200,5,25,10,Indulgence,Street Food,None
Kadai Veg Noodles,280,6,40,10,Indulgence,Indo-Chinese,None
Masala Dosa Wrap,350,8,45,15,Indulgence,South Indian,None
Punjabi Chole Burrito,300,10,35,12,Indulgence,North Indian,None
Pav Bhaji Tostada,380,10,50,18,Indulgence,Fusion,None
Aloo Gobi Quesadilla,320,8,35,15,Indulgence,Indian,None
Chicken Keema Naanwich,400,20,30,22,Indulgence,Indian,None
Dahi Puri,180,5,20,10,Indulgence,Street Food,None
Veggie Pizza Dosa,320,10,35,15,Indulgence,South Indian,None
Paneer Tikka Nachos,280,12,20,18,Indulgence,Indian,None
Aloo Tikki Pizza,350,10,45,12,Indulgence,Street Food,None
Chana Chaat Wrap,250,8,30,10,Indulgence,Street Food,None
Pav Bhaji Tacos,300,8,40,15,Indulgence,Street Food,None
Chicken 65 Quesadilla,380,18,30,22,Indulgence,Indian,None
Vada Pav Sliders,320,10,35,15,Indulgence,Street Food,None
Bhel Puri Salad,200,5,25,10,Indulgence,Street Food,None
Masala Maggi Waffles,250,6,30,12,Indulgence,Indian,None
Gulab Jamun,150,2,20,8,Indulgence,Sweets,None
Jalebi,200,1,30,10,Indulgence,Sweets,None
Rasgulla,100,2,25,1,Indulgence,Sweets,None
Kaju Katli,180,4,15,12,Indulgence,Sweets,None
Mysore Pak,250,5,30,15,Indulgence,Sweets,None
Rasmalai,180,5,20,10,Indulgence,Sweets,None
Barfi,120,3,15,8,Indulgence,Sweets,None
Sandesh,100,2,18,5,Indulgence,Sweets,None
Besan Ladoo,160,3,20,8,Indulgence,Sweets,None
Peda,140,2,25,6,Indulgence,Sweets,None
Rabri,180,4,25,10,Indulgence,Sweets,None
Kalaadi,160,8,10,12,Indulgence,Indian,None
Kesar Peda,200,3,30,8,Indulgence,Sweets,None
Coconut Ladoo,150,2,20,8,Indulgence,Sweets,None
Cham Cham,180,2,30,10,Indulgence,Sweets,None
Shrikhand,120,5,15,6,Indulgence,Sweets,None
Balushahi,220,3,25,12,Indulgence,Sweets,None
Kaju Anjeer Roll,250,6,20,15,Indulgence,Sweets,None
Gajar Halwa,200,3,25,10,Indulgence,Sweets,None
Chhena Poda,180,4,20,8,Indulgence,Sweets,None
Modak,120,2,25,5,Indulgence,Sweets,None
Malpua,180,3,30,10,Indulgence,Sweets,None
Petha,150,1,35,5,Indulgence,Sweets,None
Ragi Ladoo,160,4,20,8,Indulgence,Sweets,None
Kaju Roll,200,5,15,12,Indulgence,Sweets,None
Gond Ke Ladoo,220,3,25,10,Indulgence,Sweets,None
Ghevar,250,4,30,15,Indulgence,Sweets,None
Basundi,180,5,20,8,Indulgence,Sweets,None
Puran Poli,200,3,25,10,Indulgence,Sweets,None
Chana Dal Halwa,220,4,30,12,Indulgence,Sweets,None
Kalakand,180,6,20,10,Indulgence,Sweets,None
Mawa Kachori,250,5,30,12,Indulgence,Sweets,None
Raj Bhog,220,3,25,12,Indulgence,Sweets,None
Gulab Jamun Cheesecake,300,8,35,15,Indulgence,Sweets,None
Kaju Malai Peda,200,4,25,10,Indulgence,Sweets,None
Cham Cham Cupcakes,180,3,20,8,Indulgence,Sweets,None
Mysore Pak Ice Cream,250,5,30,12,Indulgence,Sweets,None
Gajar Ki Kheer,150,3,20,6,Indulgence,Sweets,None
Malai Sandwich,200,4,25,8,Indulgence,Sweets,None
