Food,Calories,Protein(g),Carbs(g),Fat(g),Category,Type_of_Diet,Disease_Help
Gulab Jamun Shake,200,5,30,8,Drink,Vegetarian,Energy Boost
Nimbu Pani,50,0,15,0,Drink,Vegan,Hydration
Bhindi Do Pyaza,180,5,25,8,Vegetarian,Vegan,Heart Health
Cholar Dal,220,10,30,12,Main Course,Vegan,Weight Management
Kalaadi,200,15,10,12,Dairy,Vegetarian,Immune Support
Kofta Curry,300,12,25,20,Main Course,Vegetarian,Energy Boost
Lauki Kofta,250,10,25,15,Main Course,Vegetarian,Weight Management
Biryani Pakora,180,8,20,10,Snack,Non-Vegetarian,Heart Health
Aam Panna,100,1,25,0,Drink,Vegan,Hydration
Palak Chaat,150,5,20,8,Snack,Vegan,Weight Management
Poha Cutlet,200,8,25,10,Snack,Vegetarian,Weight Management
Kachumber Salad,50,2,10,0,Salad,Vegan,Weight Management
Pumpkin Halwa,250,3,40,10,Dessert,Vegetarian,Energy Boost
Amritsari Fish,300,20,15,18,Appetizer,Non-Vegetarian,Heart Health
Matar Kachori,180,6,20,10,Snack,Vegan,Weight Management
Til Ladoo,200,5,30,10,Dessert,Vegetarian,Energy Boost
Litti Chokha,300,12,40,15,Main Course,Vegetarian,Diabetes Management
Khichu,100,2,20,5,Appetizer,Vegan,Weight Management
Aloo Baingan,200,5,30,10,Vegetarian,Vegan,Weight Management
Kalaadi,200,15,10,12,Dairy,Vegetarian,Immune Support
Kadai Mushroom,180,8,15,12,Vegetarian,Non-Vegan,Energy Boost
Rajasthani Gatte Ka Pulao,250,10,35,15,Main Course,Vegetarian,Weight Management
Mutton Rogan Josh,300,22,18,20,Main Course,Non-Vegetarian,Heart Health
Paneer Bhurji,200,15,10,15,Vegetarian,Non-Vegan,Diabetes Management
Jeera Aloo,150,3,25,8,Vegetarian,Vegan,Weight Management
Bhindi Masala,180,4,25,8,Vegetarian,Vegan,Heart Health
Aloo Methi,150,3,20,7,Vegetarian,Vegan,Weight Management
Gobhi Manchurian,220,5,30,12,Vegetarian,Non-Vegan,Diabetes Management
Pani Puri,100,2,20,5,Snack,Vegan,Weight Management
Keerai Kootu,120,5,15,5,Vegetarian,Vegan,Heart Health
Gatte Ki Sabzi,250,12,20,15,Vegetarian,Vegan,Heart Health
Kalaadi,200,15,10,12,Dairy,Vegetarian,Immune Support
Aloo Baingan,200,5,30,10,Vegetarian,Vegan,Weight Management
Lauki Kofta,250,10,25,15,Vegetarian,Non-Vegan,Diabetes Management
Kadhi Pakora,200,8,15,12,Vegetarian,Non-Vegan,Energy Boost
Bhutte Ka Kees,180,5,25,8,Vegetarian,Vegan,Heart Health
Chana Masala,220,10,30,10,Vegetarian,Vegan,Weight Management
Rajma Chawal,300,12,40,15,Main Course,Vegetarian,Weight Management
Aloo Paratha,250,8,35,12,Main Course,Non-Vegan,Weight Management
Khichdi,200,5,30,8,Main Course,Vegan,Weight Management
Chole Bhature,350,15,40,20,Main Course,Vegetarian,Heart Health
Dhokla Sandwich,150,5,25,8,Snack,Vegetarian,Weight Management
Mutton Keema,200,18,10,15,Main Course,Non-Vegetarian,Heart Health
Aloo Gobi,180,4,25,10,Vegetarian,Vegan,Weight Management
Baingan Bharta,150,5,20,8,Vegetarian,Vegan,Heart Health
Bhutte Ka Kees,200,8,25,10,Vegetarian,Vegan,Heart Health
Dahi Puri,100,3,15,5,Snack,Vegetarian,Weight Management
Pesarattu,120,5,20,3,Main Course,Vegan,Heart Health
Palak Paneer,180,10,12,12,Vegetarian,Non-Vegan,Diabetes Management
Vada Pav,250,5,30,15,Snack,Vegetarian,Weight Management
Bisi Bele Bath,250,8,35,8,Main Course,Vegetarian,Weight Management
Masoor Dal,150,8,20,5,Vegetarian,Vegan,Heart Health
Aam Panna,80,2,15,0,Drink,Vegan,Hydration
Kakdi Kachumber,50,2,10,0,Salad,Vegan,Weight Management
Butter Chicken,350,25,15,20,Main Course,Non-Vegetarian,Heart Health
Sarson Da Saag,180,8,20,12,Main Course,Vegetarian,Weight Management
Mysore Pak,200,5,30,8,Dessert,Vegetarian,Energy Boost
Panta Bhat,120,5,25,3,Main Course,Vegan,Weight Management
Pani Puri,80,2,15,2,Snack,Vegan,Weight Management
Bhuna Gosht,250,20,12,18,Main Course,Non-Vegetarian,Heart Health
Rasam,80,3,15,2,Soup,Vegetarian,Immune Support
Gajar Ka Halwa,200,5,40,10,Dessert,Vegetarian,Energy Boost
Tawa Pulao,250,8,35,10,Main Course,Vegetarian,Weight Management
Dhansak,300,20,25,15,Main Course,Non-Vegetarian,Heart Health
Aloo Methi,150,4,20,7,Vegetarian,Vegan,Weight Management
Baingan Patiala,180,6,30,10,Vegetarian,Vegan,Heart Health
Chicken Sukka,250,20,12,15,Main Course,Non-Vegetarian,Energy Boost
Gobi Manchurian,200,5,30,12,Vegetarian,Non-Vegan,Diabetes Management
Jeera Rice,150,3,30,2,Main Course,Vegan,Weight Management
Kadai Bhindi,180,5,25,8,Vegetarian,Vegan,Heart Health
Pesarattu Upma,220,10,25,12,Main Course,Vegan,Weight Management
Rava Dosa,180,5,25,10,Main Course,Vegan,Weight Management
Samosa Chaat,250,6,30,12,Snack,Vegan,Weight Management
Tandoori Roti,120,4,20,2,Main Course,Vegan,Weight Management
Aloo Parwal Sabzi,200,5,30,10,Vegetarian,Vegan,Weight Management
Bhutte Ka Kees,180,5,25,8,Vegetarian,Vegan,Heart Health
Chapati Roll,200,8,25,10,Main Course,Vegetarian,Weight Management
Dahi Ke Kebab,150,6,12,8,Snack,Vegetarian,Weight Management
Egg Biryani,300,15,40,12,Main Course,Non-Vegetarian,Heart Health
Fruit Chaat,100,2,25,0,Snack,Vegan,Weight Management
Gajar Halwa,250,5,40,10,Dessert,Vegetarian,Energy Boost
Hara Bhara Kebab,120,5,15,8,Appetizer,Vegetarian,Weight Management
Idli Sambhar,150,5,25,2,Main Course,Vegan,Weight Management
Jalebi,180,3,30,6,Dessert,Vegetarian,Energy Boost
Kofta Curry,220,10,18,15,Main Course,Vegetarian,Energy Boost
Lassi,120,3,20,2,Drink,Vegetarian,Hydration
Mango Rice,250,5,40,8,Main Course,Vegan,Heart Health
Nihari,300,25,15,20,Main Course,Non-Vegetarian,Energy Boost
Pav Bhaji,250,5,40,15,Snack,Vegetarian,Weight Management
Rajma Galouti Kebab,180,15,10,15,Appetizer,Vegetarian,Energy Boost
Sheer Kurma,200,4,35,8,Dessert,Vegetarian,Energy Boost
Aloo Baingan,180,5,30,8,Vegetarian,Vegan,Weight Management
Dhokla Sandwich,150,5,25,8,Snack,Vegetarian,Weight Management
Mutton Keema,200,18,10,15,Main Course,Non-Vegetarian,Heart Health
Butter Chicken,350,25,15,20,Main Course,Non-Vegetarian,Heart Health
Chana Masala,220,10,30,10,Vegetarian,Vegan,Weight Management
Gulab Jamun,180,3,25,8,Dessert,Vegetarian,Energy Boost
Kadai Mushroom,180,8,15,12,Vegetarian,Non-Vegan,Energy Boost
Lemon Rice,200,3,40,5,Main Course,Vegan,Weight Management
Bhindi Do Pyaza,180,5,25,8,Vegetarian,Vegan,Heart Health
Rogan Josh,300,20,15,25,Main Course,Non-Vegetarian,Heart Health
Tandoori Roti,120,4,20,2,Main Course,Vegan,Weight Management
Fish Curry,300,20,15,18,Seafood,Non-Vegetarian,Heart Health
Pesarattu Upma,220,10,25,12,Main Course,Vegan,Weight Management
Chhole Bhature,350,15,40,20,Main Course,Vegetarian,Heart Health
Bhuna Kukda,250,20,15,22,Main Course,Non-Vegetarian,Energy Boost
Masala Dosa,200,5,30,10,Main Course,Vegan,Weight Management
Dahi Puri,100,3,15,5,Snack,Vegetarian,Weight Management
Keema Samosa,200,10,15,12,Snack,Non-Vegetarian,Immune Support
Aloo Paratha,250,8,35,12,Main Course,Non-Vegan,Weight Management
Kalaadi,200,15,10,12,Dairy,Vegetarian,Immune Support
Biryani Pakora,180,8,20,10,Snack,Non-Vegetarian,Heart Health
Aam Panna,80,2,15,0,Drink,Vegan,Hydration
Kakdi Kachumber,50,2,10,0,Salad,Vegan,Weight Management
Rava Dosa,180,5,25,10,Main Course,Vegan,Weight Management
Veg Hakka Noodles,180,5,30,8,Main Course,Vegan,Weight Management
Rajma Chawal,250,8,40,12,Main Course,Vegetarian,Weight Management
Chettinad Chicken Curry,300,25,15,20,Main Course,Non-Vegetarian,Heart Health
Samosa Chaat,200,6,25,10,Snack,Vegan,Weight Management
Baingan Bharta,150,5,20,8,Main Course,Vegan,Heart Health
Puri Bhaji,220,5,30,12,Main Course,Vegetarian,Weight Management
Matar Paneer,180,10,15,12,Main Course,Vegetarian,Energy Boost
Aloo Tikki,150,3,20,8,Snack,Vegan,Weight Management
Butter Naan,200,5,25,8,Main Course,Vegetarian,Weight Management
Tandoori Fish Tikka,250,20,10,15,Appetizer,Non-Vegetarian,Heart Health
Malai Kofta,300,15,20,25,Main Course,Vegetarian,Diabetes Management
Dahi Ke Sholay,180,6,12,15,Snack,Vegetarian,Weight Management
Bhindi Masala,180,4,25,8,Main Course,Vegan,Heart Health
Rasgulla,200,2,40,5,Dessert,Vegetarian,Energy Boost
Vegetable Biryani,250,8,35,10,Main Course,Vegan,Weight Management
Papdi Chaat,150,3,20,5,Snack,Vegan,Weight Management
Kofta Biryani,300,10,40,15,Main Course,Vegan,Energy Boost
Gulab Jamun Shake,200,5,30,8,Drink,Vegetarian,Energy Boost
Dal Tadka,180,10,15,8,Main Course,Vegan,Weight Management
Chole Kulche,220,8,25,10,Main Course,Vegan,Heart Health
Dahi Vada,180,5,20,10,Snack,Vegetarian,Weight Management
Chicken Korma,300,20,15,22,Main Course,Non-Vegetarian,Heart Health
Kadhi Chawal,200,5,30,8,Main Course,Vegetarian,Weight Management
Paneer Butter Masala,250,12,18,15,Main Course,Vegetarian,Energy Boost
Aloo Gobi Masala,180,5,25,10,Vegetarian,Vegan,Weight Management
Chicken Biryani,300,25,40,15,Main Course,Non-Vegetarian,Heart Health
Masala Papad,100,3,10,5,Appetizer,Vegetarian,Weight Management
Aloo Methi,150,4,20,7,Vegetarian,Vegan,Weight Management
Dhokla Sandwich,150,5,25,8,Snack,Vegetarian,Weight Management
Keema Naan,200,8,20,10,Main Course,Non-Vegetarian,Weight Management
Paneer Bhurji,180,10,12,12,Main Course,Vegetarian,Diabetes Management
Tandoori Chicken,250,20,5,15,Main Course,Non-Vegetarian,Heart Health
Mushroom Matar,180,6,20,8,Vegetarian,Vegan,Heart Health
Bhindi Masala,180,4,25,8,Vegetarian,Vegan,Heart Health
Tomato Rasam,80,3,15,2,Soup,Vegetarian,Immune Support
Chicken 65,200,15,10,12,Appetizer,Non-Vegetarian,Energy Boost
Sarson Da Saag,180,8,20,12,Main Course,Vegetarian,Weight Management
Kalaadi,200,15,10,12,Dairy,Vegetarian,Immune Support
Vegetable Jalfrezi,220,8,30,10,Main Course,Vegetarian,Weight Management
Aloo Parwal Sabzi,200,5,30,10,Vegetarian,Vegan,Weight Management
Lamb Rogan Josh,300,20,15,20,Main Course,Non-Vegetarian,Heart Health
Gobi Manchurian,200,5,30,12,Vegetarian,Non-Vegan,Diabetes Management
Pav Bhaji,250,8,30,10,Main Course,Vegetarian,Weight Management
Aloo Tikki Chaat,150,4,25,8,Snack,Vegetarian,Weight Management
Mango Lassi,200,5,30,8,Drink,Vegetarian,Hydration
Prawn Curry,300,25,15,18,Main Course,Non-Vegetarian,Heart Health
Dal Tadka,180,10,15,8,Main Course,Vegan,Weight Management
Gajar Ka Halwa,250,5,40,10,Dessert,Vegetarian,Energy Boost
Palak Paneer,180,10,12,12,Vegetarian,Non-Vegan,Diabetes Management
Bhindi Do Pyaza,180,5,25,8,Vegetarian,Vegan,Heart Health
Kadai Paneer,200,12,15,15,Main Course,Vegetarian,Diabetes Management
Tandoori Roti,120,4,20,2,Main Course,Vegan,Weight Management
Hyderabadi Biryani,300,20,40,15,Main Course,Non-Vegetarian,Heart Health
Dhansak,250,18,20,12,Main Course,Non-Vegetarian,Energy Boost
Gajar Ka Halwa,200,5,40,10,Dessert,Vegetarian,Energy Boost
Murg Malai Tikka,180,15,10,12,Appetizer,Non-Vegetarian,Heart Health
Mango Pickle,50,1,10,2,Condiment,Vegan,Immune Support
Chole Bhature,300,15,40,15,Main Course,Vegetarian,Heart Health
Lauki Kofta,250,8,25,15,Vegetarian,Non-Vegan,Diabetes Management
Vegetable Biryani,250,8,35,10,Main Course,Vegan,Weight Management
Dahi Puri,100,3,15,5,Snack,Vegetarian,Weight Management
Gobi Paratha,200,6,30,8,Main Course,Non-Vegan,Weight Management
Rajma Galouti Kebab,180,15,10,15,Appetizer,Vegetarian,Energy Boost
Chana Chaat,150,6,20,5,Snack,Vegan,Weight Management
Dal Makhani,250,15,20,18,Main Course,Vegetarian,Heart Health
Pani Puri,80,2,15,2,Snack,Vegan,Weight Management
Butter Chicken,350,25,15,20,Main Course,Non-Vegetarian,Heart Health
Vegetable Korma,200,8,15,15,Main Course,Vegetarian,Weight Management
Baingan Bharta,150,5,20,8,Main Course,Vegan,Heart Health
Kulfi,150,4,25,8,Dessert,Vegetarian,Energy Boost
Bhutte Ka Kees,180,5,25,8,Vegetarian,Vegan,Heart Health
Paneer Tikka,200,15,10,15,Appetizer,Vegetarian,Diabetes Management
Mango Lassi,200,5,30,8,Drink,Vegetarian,Hydration
Aloo Methi,150,4,20,7,Vegetarian,Vegan,Weight Management
Mutton Rogan Josh,300,20,15,22,Main Course,Non-Vegetarian,Heart Health
Pesarattu Upma,220,10,25,12,Main Course,Vegan,Weight Management
Rava Kesari,200,3,35,6,Dessert,Vegetarian,Energy Boost
Chicken Chettinad,320,25,10,18,Main Course,Non-Vegetarian,Heart Health
Aamras Puri,250,2,40,10,Main Course,Vegetarian,Energy Boost
Rajasthani Gatte Ki Sabzi,180,8,15,12,Vegetarian,Vegan,Weight Management
Samosa Chaat,250,6,30,12,Snack,Vegan,Weight Management
Kadai Mushroom,180,8,15,12,Vegetarian,Non-Vegan,Energy Boost
Aloo Baingan,180,5,30,8,Vegetarian,Vegan,Weight Management
Tandoori Roti,120,4,20,2,Main Course,Vegan,Weight Management
Malai Kofta,300,15,20,25,Main Course,Vegetarian,Diabetes Management
Palak Puri,150,3,25,6,Main Course,Vegetarian,Weight Management
Chicken Saagwala,280,20,15,20,Main Course,Non-Vegetarian,Heart Health
Mango Chutney,80,1,20,0,Condiment,Vegetarian,Immune Support
Chana Masala,220,10,30,10,Vegetarian,Vegan,Weight Management
Dhokla,120,5,20,3,Snack,Vegan,Weight Management
Pav Bhaji,250,8,30,10,Main Course,Vegetarian,Weight Management
Baingan Bharta,150,5,20,8,Main Course,Vegan,Heart Health
Lemon Rice,200,3,40,5,Main Course,Vegan,Weight Management
Kesar Pista Kulfi,180,5,30,8,Dessert,Vegetarian,Energy Boost
Chicken Keema,250,18,10,15,Main Course,Non-Vegetarian,Heart Health
Bhutte Ka Kees,180,5,25,8,Vegetarian,Vegan,Heart Health
Dahi Puri,100,3,15,5,Snack,Vegetarian,Weight Management
Poha,200,3,30,10,Main Course,Vegan,Weight Management
Kaju Katli,180,5,30,8,Dessert,Vegetarian,Energy Boost
Kadhi Pakora,150,6,15,8,Main Course,Vegetarian,Weight Management
Kadai Bhindi,150,4,20,7,Vegetarian,Vegan,Weight Management
Chicken Malai Tikka,280,22,12,15,Appetizer,Non-Vegetarian,Heart Health
Rajasthani Dal Baati Churma,350,12,50,15,Main Course,Vegan,Weight Management
Kothu Parotta,300,15,30,18,Main Course,Non-Vegetarian,Heart Health
Pav Bhaji Pizza,250,8,25,12,Main Course,Vegetarian,Diabetes Management
Tandoori Gobi,180,5,25,8,Appetizer,Vegetarian,Weight Management
Chicken Kheema,280,20,15,18,Main Course,Non-Vegetarian,Heart Health
Aloo Matar,150,4,25,6,Vegetarian,Vegan,Weight Management
Rasam,80,3,15,2,Soup,Vegetarian,Immune Support
Paneer Tikka Masala,250,15,20,12,Main Course,Vegetarian,Energy Boost
Tamarind Rice,200,3,40,5,Main Course,Vegan,Weight Management
Ghee Roast Dosa,180,4,30,10,Main Course,Vegetarian,Weight Management
Aam Papad,120,2,25,1,Snack,Vegetarian,Energy Boost
Bhuna Chicken,300,18,20,15,Main Course,Non-Vegetarian,Heart Health
Pudina Chutney,50,1,10,2,Condiment,Vegan,Immune Support
Aloo Paratha,250,8,35,12,Main Course,Non-Vegan,Weight Management
Fish Tikka Masala,320,25,15,18,Main Course,Non-Vegetarian,Heart Health
Moong Dal Halwa,300,5,40,15,Dessert,Vegetarian,Energy Boost
Coconut Chutney,70,1,5,6,Condiment,Vegan,Immune Support
Methi Thepla,200,5,30,8,Main Course,Vegan,Weight Management
Chicken Vindaloo,280,20,15,18,Main Course,Non-Vegetarian,Heart Health
Spinach Mushroom Curry,180,8,15,12,Main Course,Vegetarian,Diabetes Management
Nariyal Ladoo,150,2,20,8,Dessert,Vegetarian,Energy Boost
Chettinad Egg Curry,300,18,15,20,Main Course,Non-Vegetarian,Heart Health
Avial,150,5,20,8,Main Course,Vegetarian,Vegan
Dum Aloo,200,6,25,10,Main Course,Vegetarian,Diabetes Management
Plain Lassi,100,3,15,5,Drink,Vegetarian,Hydration
Coconut Water,50,1,10,0,Drink,Vegan,Hydration
Masala Chai,80,2,10,4,Drink,Vegetarian,Energy Boost
Lemonade,60,1,15,0,Drink,Vegan,Hydration
Buttermilk,70,3,12,2,Drink,Vegetarian,Hydration
Tomato Soup,70,2,15,1,Soup,Vegan,Immune Support
Rasam,80,3,15,2,Soup,Vegetarian,Immune Support
Mango Juice,120,1,30,0,Drink,Vegan,Energy Boost
Watermelon,30,1,8,0,Fruit,Vegan,Hydration
Banana,100,1,27,0,Fruit,Vegan,Energy Boost
Guava,60,2,14,1,Fruit,Vegan,Immune Support
Papaya,70,1,18,0,Fruit,Vegan,Digestive Health
Pineapple,50,1,13,0,Fruit,Vegan,Immune Support
Mango,80,1,20,0,Fruit,Vegan,Energy Boost
Apple,95,1,25,0,Fruit,Vegan,Heart Health
Orange,60,1,15,0,Fruit,Vegan,Immune Support
Grapefruit,40,1,10,0,Fruit,Vegan,Weight Management
Pomegranate,80,1,18,1,Fruit,Vegan,Heart Health
Lime,20,0,7,0,Fruit,Vegan,Immune Support
Cucumber Soup,40,1,8,1,Soup,Vegan,Hydration
Mixed Fruit Salad,70,1,18,0,Fruit Salad,Vegan,Immune Support
Mango Lassi,200,5,30,8,Drink,Vegetarian,Hydration
