id,age,height,weight,gender,goal,time,equipment,aerobic,strength_training,intensity
333,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
334,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
335,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
336,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
337,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
338,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
339,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
340,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
341,26,175,68,Male,build_muscle,45,dumbbells,Jogging,Weight Lifting,Moderate
342,48,180,80,Female,stay_fit,50,treadmill,Cycling,Weight Lifting,Moderate
343,34,162,58,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
344,53,168,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
345,29,170,72,Male,stay_fit,40,bodyweight_exercises,Dancing,Bodyweight,Moderate
346,41,167,65,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
347,31,158,52,Male,stay_fit,35,weight_machine,Running,Weight Lifting,Moderate
348,50,182,88,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
349,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
350,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
351,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
352,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
353,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
354,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
355,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
356,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
357,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
358,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
359,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
360,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
361,27,175,70,Male,build_muscle,40,dumbbells,Cycling,Bodyweight,Moderate
362,43,180,82,Female,stay_fit,50,treadmill,Running,Weight Lifting,Moderate
363,32,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
364,47,175,78,Female,build_muscle,60,barbell,Jogging,Weight Lifting,Intense
365,26,172,63,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
366,36,168,67,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
367,30,155,50,Male,stay_fit,30,weight_machine,Running,Weight Lifting,Moderate
368,52,185,85,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
369,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
370,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
371,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
372,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
373,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
374,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
375,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
376,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
377,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
378,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
379,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
380,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
381,26,175,68,Male,build_muscle,45,dumbbells,Jogging,Weight Lifting,Moderate
382,48,180,80,Female,stay_fit,50,treadmill,Cycling,Weight Lifting,Moderate
383,34,162,58,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
384,53,168,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
385,29,170,72,Male,stay_fit,40,bodyweight_exercises,Dancing,Bodyweight,Moderate
386,41,167,65,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
387,31,158,52,Male,stay_fit,35,weight_machine,Running,Weight Lifting,Moderate
388,50,182,88,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
389,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
390,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
391,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
392,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
393,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
394,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
395,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
396,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
397,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
398,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
399,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
400,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
401,27,175,70,Male,build_muscle,40,dumbbells,Cycling,Bodyweight,Moderate
402,43,180,82,Female,stay_fit,50,treadmill,Running,Weight Lifting,Moderate
403,32,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
404,47,175,78,Female,build_muscle,60,barbell,Jogging,Weight Lifting,Intense
405,26,172,63,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
406,36,168,67,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
407,30,155,50,Male,stay_fit,30,weight_machine,Running,Weight Lifting,Moderate
408,52,185,85,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
409,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
410,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
411,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
412,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
413,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
414,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
415,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
416,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
417,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
418,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
419,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
420,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
421,26,175,68,Male,build_muscle,45,dumbbells,Jogging,Weight Lifting,Moderate
422,48,180,80,Female,stay_fit,50,treadmill,Cycling,Weight Lifting,Moderate
423,34,162,58,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
424,53,168,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
425,29,170,72,Male,stay_fit,40,bodyweight_exercises,Dancing,Bodyweight,Moderate
426,41,167,65,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
427,31,158,52,Male,stay_fit,35,weight_machine,Running,Weight Lifting,Moderate
428,50,182,88,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
429,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
430,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
431,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
432,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
433,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
434,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
435,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
436,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
437,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
438,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
439,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
440,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
441,27,175,70,Male,build_muscle,40,dumbbells,Cycling,Bodyweight,Moderate
442,43,180,82,Female,stay_fit,50,treadmill,Running,Weight Lifting,Moderate
443,32,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
444,47,175,78,Female,build_muscle,60,barbell,Jogging,Weight Lifting,Intense
445,26,172,63,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
446,36,168,67,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
447,30,155,50,Male,stay_fit,30,weight_machine,Running,Weight Lifting,Moderate
448,52,185,85,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
449,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
450,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
451,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
452,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
453,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
454,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
455,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
456,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
457,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
458,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
459,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
460,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
461,26,175,68,Male,build_muscle,45,dumbbells,Jogging,Weight Lifting,Moderate
462,48,180,80,Female,stay_fit,50,treadmill,Cycling,Weight Lifting,Moderate
463,34,162,58,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
464,53,168,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
465,29,170,72,Male,stay_fit,40,bodyweight_exercises,Dancing,Bodyweight,Moderate
466,41,167,65,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
467,31,158,52,Male,stay_fit,35,weight_machine,Running,Weight Lifting,Moderate
468,50,182,88,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
469,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
470,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
471,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
472,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
473,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
474,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
475,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
476,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
477,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
478,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
479,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
480,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
481,27,175,70,Male,build_muscle,40,dumbbells,Cycling,Bodyweight,Moderate
482,43,180,82,Female,stay_fit,50,treadmill,Running,Weight Lifting,Moderate
483,32,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
484,47,175,78,Female,build_muscle,60,barbell,Jogging,Weight Lifting,Intense
485,26,172,63,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
486,36,168,67,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
487,30,155,50,Male,stay_fit,30,weight_machine,Running,Weight Lifting,Moderate
488,52,185,85,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
489,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
490,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
491,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
492,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
493,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
494,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
495,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
496,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
497,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
498,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
499,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
500,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
501,27,175,70,Male,build_muscle,40,dumbbells,Cycling,Bodyweight,Moderate
502,43,180,82,Female,stay_fit,50,treadmill,Running,Weight Lifting,Moderate
503,32,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
504,47,175,78,Female,build_muscle,60,barbell,Jogging,Weight Lifting,Intense
505,26,172,63,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
506,36,168,67,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
507,30,155,50,Male,stay_fit,30,weight_machine,Running,Weight Lifting,Moderate
508,52,185,85,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
509,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
510,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
511,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
512,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
513,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
514,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
515,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
516,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
517,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
518,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
519,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
520,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
521,26,175,68,Male,build_muscle,45,dumbbells,Jogging,Weight Lifting,Moderate
522,48,180,80,Female,stay_fit,50,treadmill,Cycling,Weight Lifting,Moderate
523,34,162,58,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
524,53,168,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
525,29,170,72,Male,stay_fit,40,bodyweight_exercises,Dancing,Bodyweight,Moderate
526,41,167,65,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
527,31,158,52,Male,stay_fit,35,weight_machine,Running,Weight Lifting,Moderate
528,50,182,88,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
529,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
530,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
531,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
532,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
533,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
534,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
535,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
536,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
537,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
538,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
539,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
540,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
